MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CAPACITOR_0,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,RESISTOR_0,CURRENT_0_BIAS,gen,index,av0,av3,av5,av7,ft0,ft3,ft5,ft7,gm0,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
1.196149,30,3.365637,0.2988094,7,4.467369,0.05,3,1.808999,0.5112358,0.5692962,30,0.12,0.394602,76.37136,29,39,100.9345,23.89725,104.6553,13.14105,833987100,1551157000,1804074000,73690520000,0.006035472,0.0006006527,0.0006261212,0.003606533,19.3335357456093,50.0502609900969,374.111181999558,9471.13066653336,30.2596943129085,17223303.8457105,26.5055025335109,0.155930191918353,214,28.6955603513672,128739200,0.000849679408678061,0.000159985205643308,61.11466,1.84497293604087e-09,0.000103152167935279,0.00863942838924719,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.196149,30,3.365637,0.2988094,8,2.934653,0.06,9,1.808999,0.5112358,0.5692962,30,1.332345,0.394602,76.37136,30,45,93.11152,26.28802,38.55837,13.37392,830381800,1651189000,1028732000,16024390000,0.00598504,0.0005345469,0.0007013722,0.004362207,41.2784455754835,60.5443618083939,349.774646459202,68.9520884132839,37.9320681432831,20818695.984674,27.2029432743397,0.0657544242917139,362,40.8716463442071,120273000,0.000849033437319217,0.000202722816723675,62.29888,2.15978704366188e-09,1.66253208040965e-05,0.00432910385369073,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.196149,30,3.365637,0.2988094,5,7.284632,0.05,15,1.688377,0.5112358,0.9823451,30,1.332345,0.8620101,113.182,30,55,92.99113,25.5598,94.20786,27.52113,837014700,8199093000,920520100,131712400000,0.00934907,0.0008467137,0.0007247876,0.005295633,39.0668196373801,284.578858891702,313.673994630034,9.16058034151292,37.2105414878622,144338805.420414,27.9889753209075,0.0702655141367581,333,40.5433212856914,159095900,0.00125234922065942,0.000215751796001861,65.66136,1.00027307104394e-09,2.91721339038042e-06,0.00203681294327462,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
0.6136946,30,2.908384,0.05257955,3,4.095642,0.04,2,1.903355,0.5415457,0.95,30,1.616858,0.055,48.64595,24,37,64.70207,29.94324,21.66071,8.694572,865825500,41511720000,871231900,89616610000,0.01265561,0.0003903882,0.008663246,0.0016339,15.0152988643482,317.28741095726,418.318419209509,303542.991000788,28.9434003607067,71980681.7281519,27.1508620571377,0.268940430458526,-46.904577147158,21.1008355139842,94900850,0.000560154838179371,0.000182682389489745,47.54952,3.50191386837024e-09,0.00023755431685958,0.040917954934408,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.196149,30,2.879828,0.2988094,8,2.934653,0.06,9,1.808999,0.4884069,0.5692962,30,1.868612,0.4973488,76.37136,30,39,91.93623,26.42147,78.39859,13.378,832905200,1650785000,977199300,47834160000,0.0103248,0.0005402149,0.0007176503,0.004359901,43.1211371252497,77.1016796158772,350.937885808863,82.1617405473097,39.057385443807,26461234.3982757,26.7682250460847,0.0628025201924602,381,40.9289667521482,120441600,0.000847405420424277,0.000210652199292537,60.72934,1.98120198011795e-09,1.90092700491276e-05,0.00505060625036702,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
0.1494636,30,4.159461,0.04,3,0.3651205,0.05,12,1.76,0.150974,0.3986832,30,2,0.055,22.78251,28,51,42.01603,8.756525,52.00359,9.299252,936172300,22222190000,929040800,29716680000,0.002887478,0.0002298844,0.01406251,0.002154326,30.1327353042463,318.514081770408,690.996932224363,11190.1919990593,29.3550051211426,45250911.0917077,15.2421107256701,0.105324047332171,-9.9769027210812,22.9383051209391,98169100,0.000350787142753145,0.000376073838324542,50.77414,3.1207479829559e-08,6.02085317416989e-05,0.0229865711195313,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.030611,30,4.321202,0.2951114,7,4.741266,0.06,15,1.760048,0.3428319,0.5692962,30,1.332345,0.4921909,69.12239,46,51,90.17275,54.52184,61.77471,11.1247,831015600,1354920000,1000715000,39890840000,0.005914234,0.0007981704,0.001296563,0.005828224,39.0458600140837,264.298373767141,662.543275501492,13.2834525723564,37.7115837263742,83141600.7351798,24.0019175489471,0.0440142076305398,415,42.631860073024,208419400,0.00077672783272853,0.000232304234130323,49.15111,1.5833767956341e-09,7.16082375020577e-06,0.00233947897070552,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.021569,30,2.908384,0.4545536,2,2.96631,0.04,2,4.130755,0.1857348,1.745375,30,0.12,0.4130915,73.14391,24,28,107.0144,32.04857,39.62466,18.27533,840064800,41131500000,921121100,99717440000,0.02329374,0.0001469889,0.0003444011,0.002292156,8.30806155499681,424.696948110149,214.940125022205,954035.598172566,13.6964267427637,133573751.463142,17.6565752820796,0.0666663987440715,-32.0740299,26.4100294535219,67601990,0.000776581356365714,0.000302816588288843,52.54312,2.38326314326094e-09,0.000128046198088278,0.00941071760619117,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
0.4046211,30,2.690707,0.2632871,4,2.96631,0.04646405,7,0.3245893,0.1857348,0.95,30,0.12,0.1010102,40.23754,25,51,68.51413,48.72878,69.33201,30.58437,917603700,61616270000,1301432000,72076920000,0.013688,0.0003286936,0.008483045,0.001507156,10.5808882063359,357.830358660622,574.880260456022,532578.707200148,26.3841371979753,69520877.4018599,15.7678550975899,0.255645598171279,-41.2386456603228,19.2414172574942,111690300,0.000479714711894539,0.000232782091889534,36.62061,3.84190293595661e-09,0.000229474078194011,0.0253506699440112,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
1.196149,30,2.879828,0.2988094,8,4.741266,0.05134339,14,1.760048,0.3727724,0.902227,30,1.332345,0.4973488,68.71478,36,57,92.96374,28.76683,82.33763,10.85303,831183800,1586770000,904516100,68198510000,0.005988434,0.0006215313,0.001160162,0.005268202,39.5428581534438,355.977762086547,579.060431072591,3.10018763782772,38.3887689135709,110312942.355395,24.6543006435312,0.051561699094668,413,42.1933929615825,179443400,0.000765153513660212,0.000216519914769691,45.41683,1.54619930688098e-09,2.89540498679325e-06,0.00142065740120773,"TwoStFixRatio_SMCNR_Pin_2",40,0.9,0.3,2,0
