MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_11_1_L_gm2_PMOS,MOSFET_11_1_M_gm2_PMOS,MOSFET_11_1_W_gm2_PMOS,MOSFET_12_1_L_gmf2_PMOS,MOSFET_12_1_M_gmf2_PMOS,MOSFET_12_1_W_gmf2_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_18_7_L_BIASCM_NMOS,MOSFET_18_7_M_BIASCM_NMOS,MOSFET_18_7_W_BIASCM_NMOS,MOSFET_22_2_L_LOAD2_NMOS,MOSFET_22_2_M_LOAD2_NMOS,MOSFET_22_2_W_LOAD2_NMOS,MOSFET_24_1_L_gm4_NMOS,MOSFET_24_1_M_gm4_NMOS,MOSFET_24_1_W_gm4_NMOS,MOSFET_25_1_L_gm3_NMOS,MOSFET_25_1_M_gm3_NMOS,MOSFET_25_1_W_gm3_NMOS,MOSFET_9_2_L_gm1_PMOS,MOSFET_9_2_M_gm1_PMOS,MOSFET_9_2_W_gm1_PMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av11,av12,av17,av18,av22,av24,av25,av9,ft0,ft11,ft12,ft17,ft18,ft22,ft24,ft25,ft9,gm0,gm11,gm12,gm17,gm18,gm22,gm24,gm25,gm9,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
2.4,30,10,0.4,1,2,0.4,12,9,3.2,50,10,10,15,10,4.4,12,10,3.6,4,9,0.4,17,10,0.4,1,2,3.53,0.168,166,2,38,769.050148234844,33.4904998683989,21.8078292826201,504.520576296029,6.37812053703541,320.98667321269,8.41913755819226,41.8428759884977,49.7642591490017,80403843.1765013,10578971514.9287,9216012911.40417,39443962.7868391,10334821.1443815,93853304.1542987,198084187.817225,17191011386.1354,9896138130.68102,0.00116549584325791,0.000216161241769319,0.0108412627429591,0.00376562708005912,0.00134482115166087,0.00108577733092631,0.000616937442234196,0.0296225636362164,0.000197383513390425,43.8894527282887,7.12332567780807,2.66823335193306,4073.82569444062,45.4153430912711,23310104.4584226,181.069936764776,0.0320123629931354,-14.748084968236,107.930507982846,8731427,0.0102261330911077,0.00055556245810712,61.54322,1.9569777314012e-08,4.5830992252065e-05,0.00855885026861802,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
10,1,3,10,1,6,1.2,16,10,6.8,9,9,8,9,9,1.2,50,10,8,1,2,0.8,1,2,1.6,1,6,2.83,0.394,2.55,9,51,1139.03157714247,5890.73542291676,354.996718476788,1049.08242334347,3.91699057824658,144.624373013973,0.0104525057564755,4.17918793093944,1206.66395470085,9146681.52240997,6131433.71796702,457152269.698911,2069535.90323728,1416645.84030345,6292789.92715677,1259364.02424079,6286563587.73167,138809992.404587,6.33430086747279e-06,8.04281537633897e-06,0.00202672821383323,5.34674687528397e-05,4.83196769659271e-05,4.53088004494057e-05,6.50686850344821e-07,0.000276369450149191,2.44870100103945e-05,106.171509069235,5.96080389054133,5.12339848324091,0.0506069419231741,64.1815938355889,1059282.88953722,116.753312586838,0.0178862079446899,-8.9487882,89.5126397417693,910469.2,0.000555337684411422,0.000107981397211123,55.02177,7.88978596073527e-07,2.94878309900493e-06,0.000406405432305856,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
10,1,3,5.93,1,6,2,50,10,6.8,5,10,8,4,8,3.2,17,10,8,1,7,0.4,2,8,1.39,1,8,2.95,0.237,3.05,12,52,1072.99082598637,3501.41519539055,707.50890247216,1115.00578692585,4.20684508111159,306.563521236245,0.114042325913534,38.0266143935829,1066.39626100492,9890337.96913883,16611114.4146202,148880044.857768,3611518.66788441,3107361.13802129,8624615.47424914,3701719.51470121,15470971956.2777,165556944.825788,6.88418950523661e-06,1.28515409679066e-05,0.0033260392538509,6.30989237150822e-05,4.90106917114776e-05,5.92621637602516e-05,6.23101338349082e-06,0.00255026328842917,3.28385637292961e-05,108.38706488533,5.78924939240375,5.4527170624889,0.0898734416341585,62.7769137330226,1493172.9872806,100.453287651525,0.0178296664880428,335,124.687151734217,1406374,0.000806005281336555,0.000370218608066579,57.75321,5.18628146256156e-07,2.86460833317514e-06,0.000358986931332961,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
0.8,32,10,10,1,6,1.2,16,10,6.8,9,9,8,4,10,1.2,50,10,8,1,2,0.8,1,6,6.8,3,7,2.47,0.199,1.44,6,7,289.991442980788,6908.05653950221,427.485788666002,1037.54791132486,3.93795431681977,141.719189961272,0.0568448723396501,59.6832688072381,6161.32024349758,8602472.78908584,5327786.19807508,398552900.275798,1637261.19994644,1691256.1348869,4436125.1417913,3256120.8243295,5466907721.52193,6767533.92051449,3.02187728848618e-05,6.74147742032776e-06,0.00171188382427045,4.04250696166056e-05,2.94552505647998e-05,3.1459297807102e-05,1.63486288772265e-06,0.000672621840172922,1.63051746702012e-05,71.6654262309487,6.51732713329067,7.53028423499874,8.68999247558192,50.9527693314914,789007.693731207,113.174824939118,0.0271473515992018,-8.7476994,108.071808463504,911639.4,0.000378322123852802,0.00022094556438952,56.80086,8.77507602561847e-07,1.47518837647342e-05,0.00419156521755215,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,0
2.4,50,10,0.4,3,8,0.4,50,10,3.6,50,10,2.8,50,10,7.6,50,10,0.8,50,10,0.8,20,10,0.4,1,3,4,0.305,204,0,39,665,96.5,79.7,952,3.74,442,0.0102,131,45.6,67900000,4780000000,4530000000,28000000,32100000,19400000,35500000,3870000000,9620000000,0.0016,0.00107,0.0214,0.00309,0.00304,0.00155,0.000436,0.015,0.000295,73.8954239256459,16.1820820458539,3.59888393573295,12.4789876578344,55.8272500567612,32712106.3913715,212.263850820194,0.0287871883781152,1.15429035680355,112.748174764084,7275150,0.0063171928175477,0.000312972583306259,66.64121,2.15856625634491e-08,9.5380349679397e-06,0.00154460553345315,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
0.4,50,10,0.4,2,7,0.4,17,10,2.8,50,10,6.4,50,10,2.8,50,10,0.4,50,10,0.8,14,9,0.4,1,2,3.69,0.423,204,0,22,86.3,76.4,61.3,811,4.64,252,0.00534,98.9,36.3,859000000,6230000000,5930000000,62600000,12100000,98700000,88600000,4090000000,10800000000,0.0035,0.000858,0.0101,0.00575,0.00299,0.00268,0.000564,0.0102,0.000223,20.9261879017259,18.0336536560959,4.54649402803643,18399235.1984594,23.4576439874224,35753688.0935077,203.615877311452,0.158225502155345,1.34162644218019,69.2738591705782,9013921,0.00619565382716792,0.000589252653932675,74.63286,2.50592149344171e-08,0.00048742532528308,0.143584527093575,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
4.4,21,10,0.4,10,9,0.4,50,10,3.6,50,10,10,13,9,5.2,9,10,2.8,6,10,1.2,28,10,0.4,1,2,2.6,0.302,300,10,57,589.423276909233,113.462406928025,102.7888225839,980.423795518091,8.60344811595636,236.067186521703,1716.62074667064,246.64184486403,38.5382806218146,40490072.1543276,3415462839.38792,3271079820.29022,46599026.90942,13978153.3426991,92679305.3937143,214795272.350652,1232639023.05354,9858780773.59914,0.000866064485085623,0.0026398557618045,0.0141593551801276,0.00567519035745541,0.00153681441169611,0.00103828101582001,0.000806643275971927,0.00925076374211345,0.000203697491202959,24.1638860547675,33.2602702224211,6.63354696189361,480139.947006892,25.9722155458367,51312359.2234998,181.713725403449,0.0767238435418075,295.5,94.1656809302961,10233920,0.0048211010163514,0.000341807209961363,55.50783,1.25141726974194e-08,0.000944216094357481,0.0137907170690938,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
4,28,10,0.4,5,9,0.4,50,10,3.6,50,10,10,16,10,5.2,11,10,10,7,9,1.2,39,10,0.4,1,2,2.75,0.35,300,10,44,617.944265023908,97.9688508773497,85.7578715706863,977.870396414045,7.60085272180822,247.610625277689,2649.42594568005,213.420657374965,38.3795934004676,41687331.2783081,4369493651.43106,4198464717.92339,46353018.4201605,11890269.9550367,84651203.6115659,19187124.979052,1449750115.60926,10072757914.3713,0.00106245527731408,0.0018050869910655,0.0194562507875018,0.00566709396113669,0.00175066344609316,0.00114925707321258,0.000277547589895315,0.0155784845206066,0.000208025339234886,39.2296631836509,24.2497887861838,5.03716958299109,2226.26988057374,49.2133834618522,49325693.0945682,196.462464608383,0.0320896713998457,365,110.150641411908,10245940,0.00635645911309328,0.000313267553924609,54.65455,1.3854199488691e-08,8.84496307119242e-05,0.00731908307048701,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
0.4,50,10,0.4,3,7,0.4,8,10,2.4,50,10,4.8,50,10,2.4,50,10,4.8,50,10,0.8,4,8,0.4,1,3,2.09,0.215,300,0,28,84,77.9,62.6,745,4.49,221,0.0539,69.2,37.6,1140000000,6090000000,5790000000,95300000,22300000,148000000,7370000,4910000000,10600000000,0.00476,0.00125,0.0046,0.00773,0.00419,0.00354,0.000548,0.00318,0.000327,22.3345523424284,36.8522377125714,11.5745101249702,7605110.02334674,24.5826800565708,68140426.7932677,184.87686558322,0.143924162860579,1.72017875601892,67.5444124498096,21401470,0.00577817920826885,0.000653540994089847,32.30663,1.32509872855591e-08,0.000422352901452245,0.121350002616311,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
2.8,18,10,0.4,14,10,0.4,50,10,3.6,50,10,10,13,10,5.2,9,9,2.4,10,10,1.2,39,10,0.4,1,2,2.6,0.407,300,10,45,421.33530873398,121.09542504882,111.731124128196,1001.49629003872,8.23145220847985,229.85371491361,1191.62484820266,287.180114442365,38.4030263178477,87890841.6738347,2827634089.14137,2706292184.70657,46509149.9880066,13256173.3303625,97404746.2988764,208644372.205826,858444764.265263,9961539740.59212,0.00102341364291465,0.00326092680978564,0.011229908781285,0.00566881321804537,0.001609180461309,0.000986305952166033,0.00104166707989279,0.00833981554173158,0.000205793440996901,27.7483489669233,30.6114775758593,8.02598873572721,177912.247766398,31.0674861104208,41633422.3925172,175.540943941862,0.0537603836597097,358,98.30486164123,10915820,0.00425018507042662,0.000369107529963184,63.79693,1.27071344639281e-08,0.00062766892497774,0.017149014196824,"Leung_DFCFC1_Pin_3",65,3.3,1.6,10,1
