RESISTOR_0,MOSFET_10_1_L_gm2_PMOS,MOSFET_10_1_M_gm2_PMOS,MOSFET_10_1_W_gm2_PMOS,MOSFET_23_1_L_gm3_NMOS,MOSFET_23_1_M_gm3_NMOS,MOSFET_23_1_W_gm3_NMOS,MOSFET_8_2_L_gm1_PMOS,MOSFET_8_2_M_gm1_PMOS,MOSFET_8_2_W_gm1_PMOS,MOSFET_0_8_L_BIASCM_PMOS,MOSFET_0_8_M_BIASCM_PMOS,MOSFET_0_8_W_BIASCM_PMOS,MOSFET_17_7_L_BIASCM_NMOS,MOSFET_17_7_M_BIASCM_NMOS,MOSFET_17_7_W_BIASCM_NMOS,MOSFET_21_2_L_LOAD2_NMOS,MOSFET_21_2_M_LOAD2_NMOS,MOSFET_21_2_W_LOAD2_NMOS,CAPACITOR_0,CAPACITOR_1,CURRENT_0_BIAS,gen,index,av0,av10,av17,av21,av23,av8,ft0,ft10,ft17,ft21,ft23,ft8,gm0,gm10,gm17,gm21,gm23,gm8,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
0.56,0.2,1,0.701,0.6,5,1.76,0.6,2,1.25,4,20,2,1.4,20,2,4,20,2,5.36,4.11,3.4,0,1,141,43.2,4.16,109,32.1,77.4,7790000,6680000000,12400000,14000000,2380000000,561000000,5.63e-05,6.1e-05,8.08e-05,0.000109,0.000804,4.38e-05,47.9121089484055,0.0587255047617947,58.0412116901084,2.83047394251948,44.7002867627688,1000,110.978095179257,0.621859905703967,0.264613401549594,97.4588997962894,988347.6,0.000154803421916663,0.00014222380488422,55.32583,2.9962766501371e-07,8.2673106480935e-06,0.00269408382603281,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
1.44,0.2,1,1.13,0.6,7,1.91,0.2,1,0.836,4,20,2,4,20,2,4,20,2,5.02,3.94,2.97,0,55,140,50.4,4.65,108,38.6,50.1,7230000,5050000000,2890000,13000000,1800000000,4160000000,5.1e-05,6.79e-05,6.67e-05,9.88e-05,0.000885,3.96e-05,51.9155423754488,0.0671503522205316,62.2753776650606,0.578677134010979,49.7640433974543,1000,111.80397686773,0.594655377482937,0.897733124115102,102.274865379736,927402.1,0.000135381405909134,0.000161966323960003,51.18884,2.59203347820236e-07,4.96947541322623e-06,0.001428236092058,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
0.74,0.2,1,1.1,0.8,10,1.99,0.4,2,1.05,4,20,2,4,20,2,4,20,2,5.52,3.64,3.22,0,17,141,49.4,4.67,109,43.9,69.9,7560000,5320000000,3060000,13600000,1000000000,1080000000,5.41e-05,7.08e-05,7.16e-05,0.000105,0.000965,4.59e-05,55.7100639306979,0.0620144930851369,61.2148658083985,0.334526976531683,52.9692915925725,1000,112.754277543659,0.592805899161628,0.493519292603846,103.834003847328,987105.8,0.000146593298415398,0.000140266679047237,50.22199,2.61697048785163e-07,4.55194390901859e-06,0.00133352849411794,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
0.176,0.4,20,1.96,0.06,20,1.99,0.2,5,1.95,0.401,20,1.98,4,13,1.96,4.07,20,2.03,6.73,2.89,66.1,14,54,54.8219979327953,55.8385711974718,5.66826333223601,112.71507226976,6.01200675581522,43.2526031441359,1068847165.1837,1549568562.66136,27413089.2111466,73889279.9992854,75044413286.3215,5486569963.68885,0.000882931518039218,0.00139898784777463,0.000690861902908988,0.00077916116428871,0.0175121826020046,0.000662353496500252,52.3884314561219,0.744182165592028,31.6065756781454,14.2484262261635,49.7580844150507,258195.145904928,108.027722367918,0.0862199283114898,-16.698540375,74.8471329866504,10965950,0.00315410487870049,0.000199104004549687,66.13712,3.01442621121139e-08,6.61719391013782e-06,0.00172889440382434,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,2
6.81,0.7,1,0.268,1.8,2,1.74,0.8,1,0.263,4,20,2,4,20,2,4,20,2,5.27,4.06,0.343,0,26,105,96.1,4.03,97.2,58.6,97.4,1800000,630000000,637000,2900000,240000000,389000000,7.98e-06,6.98e-06,9.27e-06,1.52e-05,9.31e-05,4.53e-06,49.8619476919484,0.562684593988681,57.8919169894442,2.54540247765194,48.0572017804733,1000,113.664960092352,0.510712013125824,0.534726494768056,99.6656344558055,102885.2,1.6156314190987e-05,0.000145163823767561,62.03685,5.89135870003614e-07,2.14866957381349e-05,0.0036963142908677,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
13.7,3,1,1.76,4,20,2,0.7,1,0.323,4,20,2,4,20,2,4,20,2,6.06,3.93,0.343,0,9,259,227,4.19,132,133,108,2170000,29300000,731000,3390000,23000000,477000000,1.08e-05,8.57e-06,1.2e-05,1.96e-05,0.000199,5.62e-06,53.3475552261731,0.562406101884666,55.208212555359,1.2003423010004,51.4714660326523,1000,117.621168270742,0.502606532526818,0.803179669311564,106.089341623168,98164.32,1.61643144703529e-05,0.000129492479943484,67.68034,2.72698352765663e-07,1.90064750754546e-05,0.00320881103485771,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
15.1,2.6,1,1.33,1.5,2,1.6,1,1,0.41,2,20,2,4,20,2,4,20,2,5.2,3.62,0.291,0,2,153,201,4.1,132,74.8,113,4900000,38200000,666000,2950000,389000000,225000000,9.72e-06,7.28e-06,1.06e-05,1.64e-05,0.000112,4.73e-06,48.1879108676091,0.630881576079059,63.492174169227,6.45359775352442,48.7382605701962,1000,108.498318562839,0.544620365995252,0.289309920513559,92.2496868771736,100640.4,1.4409850335794e-05,0.000136541269138357,67.36105,1.20002027077925e-06,3.42605675915725e-05,0.00570264256454311,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
5.64,0.8,1,0.422,3.6,5,1.8,0.5,1,0.686,4,20,2,4,20,2,4,20,2,5.84,4.04,0.326,0,15,103,95.3,4.02,97,91.3,75.6,1740000,403000000,614000,2830000,51700000,424000000,7.61e-06,7.52e-06,8.84e-06,1.47e-05,0.000101,6.27e-06,59.8822395057131,0.591045173410337,75.7326276226561,0.331376391152973,56.8459689477748,1000,116.379160029413,0.506218582788039,1.85048842127186,104.796473108382,128133.4,1.5381073223988e-05,0.000128897422214012,55.91318,3.31097290610971e-07,1.4266031102832e-05,0.00213485036793681,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
0.58,0.3,1,1.77,0.3,6,1.8,0.4,2,1.52,2.2,20,1.97,4,20,2,4,20,2,6.61,3.33,3.46,1,20,109.081190777022,60.2790955112826,4.66045565729141,108.994187189542,31.2190350710908,72.4334235201775,18545746.5158217,2544357101.44319,3283468.54513108,14525967.1679779,5894663457.17418,922649126.070379,6.57521450095805e-05,7.69576583524869e-05,7.86824874565613e-05,0.000113644994642405,0.00118361071745539,5.43431969578745e-05,54.5585706739056,6.35810195625935,56.2842923407903,0.985631009085258,52.7205063835166,113201.845415399,113.873627324328,0.0686904697801221,1286.5,96.7214436204691,1002105,0.000161857688453928,0.000131922300030995,57.59192,5.12866401051531e-07,7.26020827032186e-06,0.0019704299090611,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
1.39,1.2,4,1.88,0.6,8,1.77,0.3,1,1.88,2.2,20,1.97,4,20,1.99,4,20,2,5.52,3.26,2.78,1,33,107.198579250552,111.133530478081,4.61265537331965,108.143781681464,39.0971058716102,64.9022861637979,16186474.1196755,145680914.403978,2844306.24008374,12622184.2790071,1708828589.64319,1558901618.95349,5.5011400119247e-05,6.83203387519597e-05,6.49443952533239e-05,9.57016367272464e-05,0.000883425031121141,4.3308710882151e-05,56.8561853918397,6.77050307004046,66.3892304478007,0.585903539774039,55.3493781822822,97277.9901826314,108.235197602259,0.0676104409589008,-4.5664146,97.5978204290555,953874.6,0.000130617378966991,0.000142050295155811,57.52129,5.17603766511341e-07,7.61133546102882e-06,0.00152893475998195,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
13.2,1.6,1,1.6,2.4,1,1.78,2,1,1.33,1.3,20,2,4,20,1.99,3.3,20,1.95,6.51,3.68,0.326,2,54,54.0502842583223,146.23993271033,4.01033869322348,87.9109934136956,26.6052000132253,156.492739076339,7312951.13582643,69876198.9521748,678417.167271431,3662240.62767062,218476279.751938,41142805.8240378,7.94052884461163e-06,8.87889277509167e-06,9.99445815380454e-06,1.47210352004759e-05,6.12596197735877e-05,5.35732575664504e-06,47.550082797309,31.1171325756616,53.0151018822777,10.7739748851822,50.2534416147064,57808.3956634932,113.854565125866,0.0853220912125983,-1.4951673,80.9782377032691,98489.73,1.68887948910552e-05,0.000131578981276672,74.58678,5.22125264728215e-06,3.64680432522832e-05,0.00624891472802225,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
7.59,1.2,1,1.71,1.7,3,1.92,1.8,1,1.3,1.1,20,2,4,20,1.99,3.4,20,2,6.69,4.45,0.368,2,38,49.5948154155481,117.272655944991,4.04604555798249,90.3814543639,62.0152106328127,143.770399323855,9775077.2663119,117911208.752024,757818.543526161,4078008.29128544,222583902.845605,52238210.1245877,8.96015807081694e-06,1.17086182300482e-05,1.15217820240176e-05,1.81684709303297e-05,0.0001308706642763,6.0283918570635e-06,46.0381283413832,26.9010913453102,48.2048651784593,12.5853146360357,49.0440626901383,57978.0549609474,118.00141524575,0.0874837212870457,732,85.5639707488337,103892.6,1.95930053599699e-05,0.000115272455330376,74.56831,4.60071111267974e-06,3.87117454930533e-05,0.00692687066536535,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
10.3,4,1,1.66,3.8,6,1.97,0.06,20,1.89,4.77,6,2.8,4,20,2,7.41,17,1.93,9.74,5.61,0.435,12,49,141.779376185659,232.337693310473,4.11508173480303,137.533142834037,93.613853050858,8.72235514639015,3006532.09239799,18072474.5190609,741897.45157888,1816989.39326419,47708795.7108373,56350475.6248097,8.95200177335275e-06,6.92356686532647e-06,1.12588727872116e-05,1.76631827572096e-05,0.000128763981808105,8.94287464418261e-06,73.7498943688805,22.3970433577579,45.5528302422323,0.120687192094735,64.1593736403454,49265.025586125,138.098060087751,0.017595109769084,1540,107.163874375711,100199,1.99965621270114e-05,0.000101717531758181,55.34775,6.75937390593244e-06,1.10617827629725e-05,0.00174629030188594,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
1.23,1,20,2,1.5,20,2,0.7,3,1.74,2.6,7,1.93,4,20,2,4,20,2,6.36,4.27,3.61,4,60,115.374584616385,100.468286611293,4.69034391833109,109.059497783493,58.7771003937496,86.5642032896017,26478077.6388987,88607322.9279262,3304561.80112562,14690391.1380736,294635212.010205,313584194.142224,4.70856604498247e-05,0.00013889627831971,7.93096802032549e-05,0.000115216397933738,0.00106591900768995,5.4473714180362e-05,56.1082702590063,14.772395764561,58.1000772423291,0.377889357938418,56.2283480455167,266898.952173609,115.803868674583,0.369721543176313,1372,106.231746246283,1049718,0.000164249194872643,0.000111226694943649,65.41,0.00472000000126335,9.67177191323249e-06,0.000984499947259687,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,1
11.8,1.8,3,1.42,0.8,4,1.58,2.2,2,1.52,0.2,20,2,4,20,1.99,3.1,20,1.96,5.54,3.41,0.277,2,37,23.3181625270374,161.311880813657,3.95659499268106,85.7326617897723,47.9696309884986,171.720325478303,29721931.2068125,37415100.5739244,709451.909529884,4316577.99724788,569504067.315978,23286665.2418542,6.79513919565916e-06,1.26127792018149e-05,1.05929536871668e-05,1.6563131191305e-05,0.000158844450958095,6.77186251913077e-06,42.6020769744728,8.97221987330647,63.9136422231808,57.4057363334298,52.3975120393136,17070.953238489,106.080582577586,0.0691359349734337,905,79.1975746376661,121605,1.72967767372682e-05,0.000150440302494377,77.81912,5.64658721951414e-06,9.4340704358391e-05,0.0101945755491656,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
13.1,1.4,1,0.925,1,3,1.5,0.5,1,0.228,1.3,20,2,4,20,1.99,3.3,20,2,5.33,3.36,0.359,1,39,55.1565934748603,117.307432184141,4.04081543593757,88.7989583699153,48.9309661412885,83.4675479424556,7835291.33016163,121263028.385942,727097.153427034,4108359.52984238,521366241.040954,881467567.75442,8.71064058936901e-06,8.53091406352799e-06,1.09229097750053e-05,1.75029792652442e-05,0.000138400918843589,5.57538976508085e-06,43.7734071877215,30.5762842360206,58.6721309312864,24.8629794862292,45.6869681023569,62758.9444998746,106.439339531961,0.0990564194877755,-4.511694,85.5512324962155,120426.7,1.86594242349973e-05,0.000157125088964064,72.42633,3.92281084665067e-06,4.38732488723825e-05,0.00785396400383004,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
11.9,0.8,1,0.594,2.9,6,1.9,0.8,1,1.38,3.7,20,1.98,4,20,2,4,20,1.99,5.22,4.56,0.281,1,3,96.1069201206819,93.6109100934491,3.96554039787041,96.2807068734418,89.167188936624,86.2340810604102,1747220.40574014,318636039.269128,551617.405558655,2586564.33080739,57424118.616419,133462925.212802,6.6244651398401e-06,7.76812882418271e-06,7.72062941782459e-06,1.30107900074202e-05,0.000108073459299437,5.79135560177584e-06,62.0950970945453,31.0052126670659,87.1021072644547,0.183324287049397,59.0579292962648,45483.3685888745,115.5691273654,0.0409163925628125,2426,105.635607212401,127775.2,1.33359888038754e-05,0.000113705159027113,55.99131,4.89420466256909e-06,1.37657466839855e-05,0.00188447262658031,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
6.12,1,1,0.6,1.6,2,2,0.7,1,0.385,4,20,2,0.5,20,2,4,20,2,6.17,4.94,0.342,0,21,259,93.1,2.92,132,79.3,102,2170000,273000000,7690000,3300000,340000000,431000000,1.08e-05,8.99e-06,1.28e-05,1.89e-05,0.00013,5.93e-06,51.1942581552489,41.4035004431191,54.4317937610151,5.00829874756913,45.196679298373,73575.8249175177,117.816682158967,0.264283885830686,1.889173702523,97.6041264204025,96727.67,1.61549416946691e-05,0.000127088790083536,66.08549,4.01664379829283e-06,3.37724636864833e-05,0.00458291833626573,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
16.1,3.9,20,2,1.4,4,1.75,0.7,1,0.715,4,20,1.99,4,20,2,4,20,2,6.9,4.13,0.382,1,56,107.164420035167,269.235428907011,4.07108151631788,97.9963364303892,60.6561898266505,83.2461253725563,1939878.99126937,3287724.79000112,688888.537719419,3189209.10012505,249393959.784706,282922923.090219,8.81407163938022e-06,1.69028574204331e-05,1.02385854769892e-05,1.71011751205407e-05,0.000140927672653531,6.51862302340271e-06,91.1497461248746,38.3004460679565,57.5770976305198,0.00183041459433728,75.4265364581144,75681.5850304856,122.362457477774,0.0176366109969315,-19.54359,103.62439407663,113772.2,1.79636134823941e-05,0.000109355714910794,77.81178,3.84576743404447e-06,2.213988101126e-06,0.000288204220872113,"Leung_NMCNR_Pin_3",65,1.2,0.4,10,0
