RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,av0,av10,av14,av2,av4,av6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
11.9,38.5,2.4,1,2,1.2,1,4,0.4,10,9,0.8,1,4,0.4,29,10,0.8,4,1,2,1,10,40,137.062874071012,426.557892642998,16.63013165422,5.25326627064687,25.8391825546459,270.43807391065,402242287.559197,448420921.020705,10450376854.0285,758307956.055582,13922865132.2859,423545613.420456,4.66690945528837e-05,4.91423223877649e-05,0.0104980955677136,5.86976030752175e-05,0.0442371059267788,1.27778416966551e-05,59.1021523305127,0.0768973203952008,0.135046668397695,1667382.89132631,26.870044017327,61467158.7955957,20.5718253929981,0.0635409294007281,-68.69816499914,27.1724767582606,107948300,0.0249793972337461,0.000631953599664802,57.06701,5.94663070060507e-09,0.000484584462084054,0.016868186982351,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
62,0.1,2.4,8,9,0.8,50,10,0.4,50,10,0.8,6,9,0.4,50,10,0.8,35,3,7,17.8,3,5,124.075635995923,453.255351101916,21.2700270288814,0.66176595737261,38.7630191217995,234.249559544616,475787520.008202,696375024.186065,8249761774.37787,687552189.213411,17100822631.8198,531232845.857233,0.00199964522123401,0.00566809929255059,0.0456005086256948,0.000833562561803952,0.0881453711228435,0.00017990441335845,65.6558631651865,0.182160862880958,0.11760969499469,12012961.8996083,18.3433594490432,376534341.49345,43.7549997143184,0.114461655798314,-133.932706152538,15.9304875906922,243104300,0.0645950946079995,0.000597686866066806,62.70888,7.90337836906212e-08,0.000228897856165915,0.0312071677672878,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
29.8,80,1.6,1,2,0.8,1,10,1.6,50,10,1.2,1,2,0.4,48,10,0.8,1,1,3,2.99,10,51,121.507662287469,415.280769565091,111.588063250548,138.775921617834,40.7124390148445,221.841158662682,658424585.212104,577151805.75815,637663577.083707,529692845.678281,11749234260.1882,578548841.38762,4.9459526913321e-05,8.95403732343376e-05,0.0126539311902591,3.0887454898007e-05,0.0569543214616881,2.84819966409857e-05,101.867718710238,0.120877381435109,0.179376138019252,104.143876915619,47.9155437586243,83191548.4031762,39.4588393138977,0.0246432675474117,-93.6090701402164,47.9701538933722,123452200,0.0215072154668975,0.000499456903943738,29.47468,8.16588455212498e-09,2.01561304897202e-05,0.00117198487607717,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
11.9,38.5,2.4,1,2,0.8,1,3,0.4,7,10,0.8,1,3,0.4,21,10,1.2,4,1,2,1,10,28,137.278163283908,279.402992301825,17.0327765080018,7.60776616278505,28.5372047278322,384.475660032149,398520412.596651,1005518864.01627,10212309505.6521,874935858.847247,14189850441.8318,231370695.393811,4.61988043273414e-05,5.51615069903449e-05,0.00797081773003226,5.16229201949583e-05,0.0320695324344905,1.05302394170036e-05,70.9889521497169,0.200688397385365,0.259658326428579,515916.314923048,27.5735241566627,114629629.406029,19.5754948851874,0.0555470151573986,-51.4852865367607,27.5911499727157,148312200,0.0178494420485099,0.000725770888744731,55.61544,4.38161975373993e-09,0.00038283437384665,0.0147808110536711,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
11.9,38.5,2.4,1,2,0.8,1,2,0.4,6,9,0.8,1,2,0.4,15,10,0.8,4,1,2,1,10,20,136.318436849656,239.055115989708,17.3035977869803,10.6232643761796,29.9219273390851,270.438073910648,401568016.738156,1189263579.24785,10058124763.1058,1071983773.45397,14462009368.652,423545613.42046,4.65899887355094e-05,4.48537024088414e-05,0.00605368731945062,4.31353502261047e-05,0.0231325368929186,1.27778416966552e-05,66.4390882492904,0.268713460465137,0.350933189047297,1243751.92656669,24.8755112742973,111895133.445008,18.6547581061776,0.0642057804541235,-41.053903791732,24.5052549536258,146132300,0.0130128312668214,0.000874925214291674,65.17177,3.80697219478916e-09,0.00045163299764439,0.0191844026632741,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
23.8,47.5,2.4,1,2,1.2,1,2,0.8,50,10,0.8,1,2,1.2,1,2,1.2,15,3,7,30,13,32,106.244124857095,38.0523547062612,328.710744485307,141.944456092125,570.95278657793,257.909341055,580700903.254646,1000411197.75868,165229764.092199,1709965708.73162,2417308222.1329,329741820.443135,6.93298200040233e-05,6.08341899174325e-05,0.00108785572181992,6.73155790245129e-05,0.000141677876775762,0.000182288160118188,43.1690566948689,0.0668373564017351,10.8118067137297,572.474642473286,48.5016734796404,1075225.93866732,33.848190498164,0.137009857838995,-33.5106288,45.2656182859324,173931700,0.000502725008771914,0.00072995541059797,33.07544,2.55140307766804e-09,0.000129413177533275,0.00571209960650987,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
0.1,2.75,1.6,4,9,1.2,12,10,1.2,13,10,0.4,39,10,0.4,1,3,0.8,50,3,8,24.4,2,17,124.060648126502,0.31764607461502,357.920832404516,139.945674046477,67.0795450393114,220.314537469483,662471494.613549,219603435.81623,241165083.8616,448428041.116412,13247891472.5039,572154865.035537,0.000881048248331725,0.000934412999991379,0.000736831172508961,0.0011911703607871,0.000384974589695623,0.000226525500266567,0.335622791238691,1.3352283113097,0.187964187410993,280856490922631,2.23152357665461,102537368.02244,38.5882106348558,0.408560232867997,-453.680916481711,18.3031933352873,14434500,0.00239980887430271,0.000627646562757587,27.48845,0.0001449999985,0.00158807286927754,0.335307043598511,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
6.5,38.5,2.4,1,3,0.8,1,3,0.4,8,9,1.6,1,5,0.4,23,10,1.2,6,1,2,1,10,50,138.962254259506,217.101242693841,16.7428017673853,112.369183604535,26.8265168897313,384.475660321521,400246029.177955,1159773543.66424,10382592691.8248,305732222.285975,13959736956.4397,231370695.148073,6.93401749879903e-05,6.57811585719608e-05,0.00834197805191654,5.89854925190845e-05,0.0349578483823551,1.05302394023008e-05,78.8496447128381,0.29378627791708,0.205631423294674,1430351.11279786,24.9029463859056,183892678.383851,19.4370779696949,0.0525623021969555,-92.8561550383894,24.9142499199891,128713000,0.0195606351673012,0.000790366159700594,36.01766,3.47649850219009e-09,0.000447039598150379,0.0224777664095361,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
80,0.1,2.8,13,10,0.8,37,10,0.4,50,10,0.8,7,10,0.4,49,10,1.2,35,4,8,29.2,9,50,147.886335614084,381.021667946238,22.976276393311,0.875902398458342,45.5283091544708,308.118135414905,314531033.089611,827257847.743418,7659654225.9547,761510103.587439,16313437743.9521,281836331.615281,0.00275421710749842,0.00529968165826661,0.0421984768306503,0.00116110391394171,0.0811510265390463,0.000224217251170302,69.1336414253907,0.288693696131362,0.212895927948093,1817522.04079969,21.0280538764557,484324601.482631,53.4462346662513,0.0791344877165331,-136.498111283941,18.8124511075643,357163100,0.0524263051086692,0.000625758344931692,49.09342,9.48877884843884e-10,8.57809437822599e-05,0.036516911985613,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
6.5,38.5,2.4,1,3,0.8,1,2,0.4,6,9,0.8,1,6,0.4,20,10,0.8,6,1,2,1,10,45,139.358981948079,184.602465611581,16.0620938422913,68.9816748055125,21.5584934624811,270.438073910648,404137526.670219,1383193615.32601,10806100141.5795,882463804.634946,13435867468.8951,423545613.42046,7.0068486274245e-05,5.34449316422882e-05,0.00652123306047292,0.000101687634457204,0.0300409807409012,1.27778416966552e-05,70.4524228060513,0.284358441775919,0.355439441365761,1352572.43514454,26.0786938966936,156144742.661334,18.7029409452097,0.0739234832491457,-77.4851460107579,26.7432328531304,195176200,0.0171597620865143,0.00090224357653162,37.1561,2.76936955837296e-09,0.00051543510994187,0.022867371341144,"HSOTA_COMP_Pin_2",65,3.3,1.6,0.1,0
