RESISTOR_0,RESISTOR_2,MOSFET_0_1_L_LOAD_NMOS,MOSFET_0_1_M_LOAD_NMOS,MOSFET_0_1_W_LOAD_NMOS,MOSFET_10_1_L_gm1_PMOS,MOSFET_10_1_M_gm1_PMOS,MOSFET_10_1_W_gm1_PMOS,MOSFET_14_1_L_BIASCM_PMOS,MOSFET_14_1_M_BIASCM_PMOS,MOSFET_14_1_W_BIASCM_PMOS,MOSFET_2_1_L_gm2_PMOS,MOSFET_2_1_M_gm2_PMOS,MOSFET_2_1_W_gm2_PMOS,MOSFET_4_1_L_gm3_NMOS,MOSFET_4_1_M_gm3_NMOS,MOSFET_4_1_W_gm3_NMOS,MOSFET_6_1_L_BIASCM_PMOS,MOSFET_6_1_M_BIASCM_NMOS,MOSFET_6_1_M_BIASCM_PMOS,MOSFET_6_1_W_BIASCM_PMOS,CURRENT_0_BIAS,gen,index,av0,av10,av14,av2,av4,av6,ft0,ft10,ft14,ft2,ft4,ft6,gm0,gm10,gm14,gm2,gm4,gm6,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
28.3,78.2,0.7,1,0.12,0.5,30,2,0.379,30,2,0.25,1,0.12,0.25,30,3.28,0.45,14,30,2,1,12,12,170,19,140,110,460,34,1900000000,810000000,3000000000,5300000000,17000000000,810000000,2.7e-06,0.013,0.015,3.9e-06,0.012,0.012,34.6458203580488,0.370585301685916,2.81947016006771,135070624.359893,10.9579816684278,7378077.22034976,31.4317355550087,0.119941162326608,-155.511187914132,16.5319905632501,56133550,0.00245793269933672,0.00112074467903138,34.23036,2.9589762943311e-08,0.00086663308519109,0.0667933691069353,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,0
28.3,69,0.65,1,0.12,0.5,30,2,0.65,30,2,0.2,1,0.12,0.25,30,2,0.5,14,30,2,1,11,53,50,160,19,88,480,34,2100000000,810000000,1500000000,5400000000,13000000000,810000000,2.8e-06,0.01,0.012,4.9e-06,0.013,0.0026,35.6478999324569,0.446376950065433,6.95440589818337,131356924.020489,9.77492976912231,5219114.79845132,31.473830399238,0.131559852562409,-229.757457124814,16.6867352328704,81312090,0.00144347767107639,0.00175900168020975,15.86811,1.48189882614481e-08,0.000887914675647543,0.0710527524739829,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,0
59.9,28.8,0.298,30,1.99,0.0954,1,0.314,0.158,30,2,0.043,6,0.16,0.04,30,10,0.33,16,1,0.234,32.6,27,52,44,22,39,8.9,37,11,8300000000,24000000000,14000000000,140000000000,32000000000,14000000000,0.0061,5.5e-05,0.0076,0.00019,0.029,4.7e-05,16.7345058744828,1.13886289774054,6.81808607135877,1913014.60673492,16.0269682095775,75676200.2441654,22.0017580115772,0.201960420071319,-79.2903885714496,18.6508146031693,453054400,0.00820356935801514,0.000946972078328217,76.31127,3.56054308448198e-09,4.07639170231372e-05,0.0128694997065438,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
55.9,28.8,0.35,30,1.96,0.15,1,0.12,0.2,30,4.83,0.05,1,1.32,0.04,30,3.9,0.222,15,1,0.234,10,26,27,39,69,55,8.9,18,21,8500000000,13000000000,10000000000,140000000000,28000000000,14000000000,0.079,0.00011,0.016,0.0003,0.019,3.4e-05,17.7719938059072,0.860231786870036,8.87677097635842,10012754.4421616,13.8325540038738,64100802.5384331,21.8770020798097,0.166081712198817,-69.9535186076307,15.7984925485781,661459100,0.00919947326583514,0.00248278198456296,69.2622,9.73665028845014e-10,4.78878449133566e-05,0.0142051743692681,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
55.9,28.8,0.638,30,1.96,0.15,1,0.314,0.185,30,2.54,0.05,1,1.32,0.0436,30,3.93,0.144,9,1,0.246,24.8,32,62,72,37,32,8.7,97,11,8200000000,21000000000,11000000000,71000000000,38000000000,29000000000,0.00036,4.6e-05,0.011,0.00035,0.033,7.6e-05,16.0825602108134,0.396149336124029,24.8799145134349,451254.491564641,15.0533029868509,21737225.0350432,21.9245012714087,0.331430091756746,-5.73842357538576,23.5509031375288,1365193000,0.00677423331129219,0.00184104415916754,51.0264,2.94016844566898e-06,1.4268411514306e-05,0.0121833770235954,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
0.1,7.92,0.95,30,2,0.553,30,2,0.652,30,2,0.233,30,1.98,0.871,30,2.07,0.45,25,30,2,24.3,24,8,120,46,180,54,99,87,870000000,900000000,890000000,980000000,880000000,880000000,0.0055,0.0042,0.0044,0.0051,0.0047,0.0042,19.5404687170442,1.91700982460174,30.9908429875563,52264.1349033793,22.497639850064,5903001.7860054,30.2047893553324,0.253518218330466,-22.2400152829295,20.5264970245127,95429350,0.000380157494886424,0.000470873540077318,47.1774,7.23395315225622e-09,9.71842251409852e-05,0.00955904873123353,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,0
67.1,28.8,0.245,30,2,0.106,1,0.262,0.04,30,4.65,0.05,11,0.16,0.04,30,2.59,0.25,16,1,0.244,10,29,44,39,18,27,12,34,13,8600000000,29000000000,22000000000,75000000000,52000000000,12000000000,0.00059,5.9e-05,0.023,0.00031,0.038,4.9e-05,21.750457274782,1.93238773705265,33.0650653333065,3949675.71826588,19.4255663107554,99645905.8517389,22.4494938027564,0.186755719588483,-26.9432514668672,18.252198619478,1705040000,0.00636619838219593,0.00231115712024402,44.89911,8.35065838199761e-10,0.000106321333757032,0.0248012285908724,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
59.9,28.8,0.245,30,1.99,0.0954,1,0.314,0.04,30,2,0.05,11,0.16,0.04,30,2.59,0.25,16,1,0.244,10,28,34,44,21,33,13,41,12,8500000000,28000000000,20000000000,84000000000,48000000000,12000000000,0.00027,5.8e-05,0.025,0.00023,0.025,5.2e-05,15.1376508945079,1.57982740938614,55.7044151929817,4606890.65475069,15.2300452938528,57106489.4359395,21.5575614483642,0.18205308271722,-33.0005433517659,19.5498627899581,2013564000,0.00446262917018234,0.00224359828828987,39.81,1.44793538132367e-09,8.89567972405492e-05,0.0188600293437457,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
63.7,14.7,0.35,30,1.99,0.186,1,0.314,0.255,30,2.88,0.0487,13,0.16,0.0468,30,2.87,0.25,9,1,0.203,44.5,27,19,38,35,37,19,36,27,8800000000,18000000000,9700000000,120000000000,36000000000,17000000000,0.0046,0.0057,0.01,0.00019,0.035,2.4e-05,15.04907754366,8.92887603683319,20.7103433082435,10162367.1122644,12.9503295076944,550225212.017999,20.9659946103208,0.226229756032936,-35.1198719510115,16.1313454669163,1276236000,0.00760779276591156,0.00274652141634229,53.70191,2.59373770494002e-09,3.56986304085891e-05,0.0192419787039368,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,1
0.1,6.63,0.811,30,4.79,0.45,30,2,0.5,30,2,0.12,30,1.99,0.52,30,1.99,0.0634,29,30,2,24.3,21,58,280,390,300,57,140,270,860000000,900000000,910000000,2800000000,4800000000,1200000000,0.012,0.0089,0.006,0.0026,0.011,0.01,4.87500882614988,7.90537707944611,30.2033730324351,25967398.1407585,9.15360184476816,24352697.1460303,18.8604003138852,0.167163263291806,-38.6334098882328,17.608496781313,93042190,0.000380311500676476,0.000447791204254215,55.4006,3.97865763883295e-09,0.000271984893306508,0.0133551264032778,"HSOTA_COMP_Pin_2",40,0.9,0.3,0.1,0
