MOSFET_0_1_L_BIASCM0_PMOS,MOSFET_0_1_M_BIASCM0_PMOS,MOSFET_0_1_W_BIASCM0_PMOS,MOSFET_2_2_L_LOAD2_PMOS,MOSFET_2_2_M_LOAD2_PMOS,MOSFET_2_2_W_LOAD2_PMOS,MOSFET_3_2_L_gm1_PMOS,MOSFET_3_2_M_gm1_PMOS,MOSFET_3_2_W_gm1_PMOS,MOSFET_5_2_L_LOAD1_NMOS,MOSFET_5_2_M_LOAD1_NMOS,MOSFET_5_2_W_LOAD1_NMOS,MOSFET_7_1_L_gm2_NMOS,MOSFET_7_1_M_gm2_NMOS,MOSFET_7_1_W_gm2_NMOS,CURRENT_0_BIAS,gen,index,av0,av2,av3,av5,av7,ft0,ft2,ft3,ft5,ft7,gm0,gm2,gm3,gm5,gm7,CMRR,FOML,FOMS,FOM_AW,PSRR,SR,chip_area,d_settle,fitness,gain,gbw,ivdd_27,noise,pm,settlingTime,tc,vos,Topo,Tech_nodes,VDD,VCM,CL,RUN
6.5,30,2,7,30,2,9.95,17,1.9,10,30,2,10,30,2,1.2,0,20,600,850,790,590,270,1100000,1100000,1100000,1100000,1100000,0.0039,0.00075,8.6e-06,8.8e-06,0.0018,68.1345888627713,2.05972626674646,474.790179391874,0.0335128105682191,49.093832924593,1000,60.60338274387,0.387797618873185,1.68902159535074,46.5553089619357,230511.3,5.99384452762593e-06,6.343036330331e-05,57.88332,1.21749611028351e-06,3.08885373233314e-06,0.00132905980310893,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,0
5.1,30,2,1.7,30,2,5.35,19,1.98,6.9,14,1.92,7.05,30,2,15.5,1,22,420,190,770,420,250,10000000,24000000,10000000,11000000,11000000,0.05,0.019,8.5e-05,8.7e-05,0.02,51.9868230046997,19.4548758835191,169.343930496451,10.4775702141955,38.9491990813195,171435.939430786,41.3095388500041,0.0604339532679544,290.5,34.1146065156054,1492255,0.000108789852583196,8.56394957275103e-05,55.22757,1.19578355517046e-07,9.14100043764826e-06,0.0028684694241628,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
1.8,30,2,1.6,30,2,5.1,19,1.96,6.9,15,1.87,4.15,30,2,15.1,2,44,190,180,720,390,150,17000000,29000000,11000000,11000000,16000000,0.027,0.04,7.7e-05,6.9e-05,0.04,48.4118285994152,26.0629815775345,207.020964823211,12.4098765078658,38.5207966291036,303011.530206234,36.275859741707,0.180044771337048,154,33.8784942016303,2406852,0.000143532430387411,9.81015094613315e-05,52.102,0.599000331660701,8.18354781220498e-06,0.00266763547033649,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
5.3,30,2,3.55,30,2,3.5,30,1.98,5.75,25,2,7.8,30,2,20.1,3,31,160,300,220,260,310,10000000,12000000,12000000,11000000,9800000,0.04,0.013,0.00011,0.00011,0.05,55.7462888298821,25.0765321641586,183.436452697587,0.634366172733641,45.6017787160332,192654.484583643,46.9339962074401,0.0444677361528567,358,40.5211816277146,1409280,9.48476612072392e-05,6.29834327333742e-05,60.35526,1.80902302030662e-07,4.02088621517555e-06,0.00133071056418083,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
9.25,30,2,5.9,30,2,8.85,18,1.9,10,30,1.99,8.35,14,1.97,1.34,1,52,670,590,440,430,390,1000000,1100000,1100000,1100000,1200000,0.00012,3.3e-05,8.9e-06,9.6e-06,5.4e-06,69.897869057632,49.8310109637552,343.763621850894,0.0561715353949265,47.5587466549444,22173.1891545601,57.3814691342074,0.0351075273253567,228,45.2095371671303,152963.7,5.49342810205742e-06,5.30904180003016e-05,71.9141,2.26555776219493e-06,3.93300710176153e-06,0.00173035396153021,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,0
5.1,30,2,5.35,30,2,5.55,22,1.97,10,8,1.98,6.05,30,2,17.4,0,38,190,360,76,82,210,10000000,13000000,10000000,10000000,14000000,0.0025,0.033,9.9e-05,9e-05,0.038,15.0027328316686,172.499589428107,146.103082005542,133242.689456008,16.8631435670409,3440146.60271277,45.9224781561274,0.153233059526124,1.27092312870149,19.634533329813,2913723,0.000246208966950638,0.000108799159226926,18.16263,5.57833440648551e-08,0.000140394023267838,0.0059690948560826,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
5.2,30,2,3.6,30,2,5.35,16,1.98,7,11,1.95,3,30,2,13,0,61,180,320,360,470,160,9900000,16000000,10000000,11000000,24000000,0.028,0.0099,7e-05,6.2e-05,0.0032,40.9338639216057,117.825195205788,197.632214192854,1.91126269718412,38.9951123860909,1816491.45209685,39.5382852435459,0.0595658245724336,0.489083814924346,34.3430373761781,3046863,0.000190331281497896,0.000125644412180408,36.90944,6.1871292280492e-08,2.84375257719793e-06,0.000589691572161488,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
5.2,30,2,1.55,30,2,1.7,30,2,6.9,18,1.91,7,30,2,10.5,10,11,350,180,180,450,300,10000000,23000000,16000000,11000000,10000000,0.018,0.012,8.5e-05,9e-05,0.035,56.4005810548854,145.858827511559,580.831441449372,0.740850727218484,43.6124383530497,793546.59410815,39.9555252749854,0.0367139383789817,573.5,40.6537448689823,3160020,6.716680573497e-05,7.02788131543845e-05,47.93525,1.13341755716227e-07,5.52334721857034e-06,0.00202042701908339,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,1
5.85,30,2,4.95,30,2,9,18,1.96,8,30,1.99,10,30,2,1.49,0,46,560,540,410,340,620,1300000,1300000,1200000,1200000,1100000,0.0029,0.00024,1.1e-05,1.1e-05,0.0038,67.4524575289507,1665837314.90573,429.989352490038,0.0671580767039386,47.2474839905235,934402134582.992,55.9932138745402,0.507515972656365,0.25001764833687,45.0923148310189,241189.8,6.92494322152044e-06,5.93848635454316e-05,66.12394,2.59812916643985e-07,3.85356325994402e-06,0.00171925868202072,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,0
5.7,30,1.96,7,30,2,9,16,1.98,10,30,2,10,30,2,1.41,0,0,550,890,310,530,630,1300000,1200000,1200000,1100000,1100000,1.3e-05,0.0012,1e-05,1.1e-05,0.00077,66.811964497428,1.74465545357068,463.714415522187,0.0365047807126954,49.1437403437403,1000,59.5432615834907,0.580071852787993,1.93789169570324,46.5202003574514,265791.4,7.0762848831146e-06,6.44209938182012e-05,56.71436,6.67014656935613e-07,2.98045393852947e-06,0.00129268617988693,"PseudoTwoSt_Null_Pin_1",40,0.9,0.3,10,0
